,What country do you live in?,How did you originally hear about VFSG?,count_heard_of_VFSG
0,Australia,LinkedIn,1
1,Australia,Other,1
2,Australia,Through a friend/Colleague,1
3,Australia,Twitter,4
4,Belgium,Through a friend/Colleague,1
5,Canada,Conference,3
6,Canada,LinkedIn,9
7,Canada,Other,3
8,Canada,Tableau user group,2
9,Canada,Through a friend/Colleague,1
10,Canada,Twitter,3
11,China,Data Viz's newsletter,1
12,Cyprus,Twitter,1
13,Denmark,Tableau user group,1
14,Denmark,Twitter,1
15,Finland,Conference,1
16,Finland,Twitter,1
17,France,Conference,1
18,France,LinkedIn,1
19,France,Through a friend/Colleague,2
20,Germany,Conference,2
21,Germany,LinkedIn,2
22,Germany,Other,1
23,Germany,Tableau user group,1
24,Germany,Twitter,1
25,Ghana,Tableau user group,1
26,Hungary,Other,1
27,India,Conference,1
28,India,Data + Women virtual meetup,1
29,India,Data Viz's newsletter,1
30,India,LinkedIn,5
31,India,Other,1
32,India,Tableau user group,4
33,India,Twitter,3
34,Indonesia,Medium,1
35,Indonesia,Twitter,1
36,Ireland,Through a friend/Colleague,1
37,Ireland,Twitter,1
38,Italy,Tableau user group,1
39,Italy,Through a friend/Colleague,1
40,"Korea, South",Other,1
41,Kuwait,Data Viz's newsletter,1
42,Luxembourg,Twitter,1
43,Mexico,Through a friend/Colleague,1
44,Netherlands,Conference,1
45,Netherlands,Data + Women virtual meetup,1
46,Netherlands,Tableau user group,1
47,Netherlands,Through a friend/Colleague,1
48,Netherlands,Twitter,1
49,New Zealand,Medium,1
50,New Zealand,Tableau user group,1
51,Peru,Twitter,1
52,Philippines,LinkedIn,1
53,Philippines,Tableau user group,2
54,Philippines,Twitter,2
55,Poland,LinkedIn,1
56,Poland,Other,1
57,Poland,Tableau user group,1
58,Poland,Twitter,1
59,Qatar,Data Viz's newsletter,1
60,Romania,Other,1
61,Russia,Tableau user group,1
62,Singapore,Twitter,2
63,South Africa,Data Viz's newsletter,1
64,Spain,LinkedIn,3
65,Spain,Through a friend/Colleague,1
66,Sweden,Twitter,1
67,Switzerland,Medium,1
68,Switzerland,Other,2
69,Syria,Conference,1
70,Thailand,Twitter,1
71,Uganda,Twitter,1
72,United Kingdom,Conference,2
73,United Kingdom,Data + Women virtual meetup,1
74,United Kingdom,LinkedIn,2
75,United Kingdom,Other,4
76,United Kingdom,Tableau user group,3
77,United Kingdom,Through a friend/Colleague,2
78,United Kingdom,Twitter,4
79,United States,Conference,7
80,United States,Data + Women virtual meetup,3
81,United States,Data Viz's newsletter,3
82,United States,LinkedIn,13
83,United States,Medium,1
84,United States,Other,16
85,United States,Tableau user group,19
86,United States,Through a friend/Colleague,8
87,United States,Twitter,10
88,Vietnam,Data Viz's newsletter,1
